Candidate,Polling,Pollster,Nationwide,State,Sample_Size,Voter_Type,DMY,Link
"Josh Shapiro",5.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Gretchen Whitmer",3.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Pete Buttigieg",14.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Mark Kelly",4.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Alexandria Ocasio-Cortez",21.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"J.B. Pritzker",3.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Andy Beshear",3.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Kamala Harris",30.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Gavin Newsom",7.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Pete Buttigieg",13.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Cory Booker",13.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Josh Shapiro",5.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Tim Walz",5.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Alexandria Ocasio-Cortez",14.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Kamala Harris",28.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Pete Buttigieg",9.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Cory Booker",7.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Gavin Newsom",7.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Alexandra Ocasio-Cortez",7.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Josh Shapiro",4.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Tim Walz",3.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"J.B. Pritzker",3.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Andy Beshear",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Rahm Emanuel",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Mark Kelly",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Gretchen Whitmer",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Kamala Harris",36.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Pete Buttigieg",8.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Gavin Newsom",4.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Alexandria Ocasio-Cortez",3.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Josh Shapiro",3.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Tim Walz",4.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Amy Klobuchar",3.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Gretchen Whitmer",4.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Roy Cooper",2.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"J.B. Pritzker",2.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Beto O'Rourke",2.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Kamala Harris",30.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Pete Buttigieg",6.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Gavin Newsom",8.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Alexandria Ocasio-Cortez",8.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Josh Shapiro",4.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Tim Walz",4.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Amy Klobuchar",2.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Gretchen Whitmer",2.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Roy Cooper",2.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Cory Booker",7.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"J.B. Pritzker",3.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Jasmine Crockett",2.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Kamala Harris",33.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Pete Buttigieg",9.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Gavin Newsom",7.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Alexandria Ocasio-Cortez",6.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Josh Shapiro",3.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Tim Walz",3.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Amy Klobuchar",3.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Gretchen Whitmer",3.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"J.B. Pritzker",1.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Beto O'Rourke",1.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Kamala Harris",30.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Alexandria Ocasio-Cortez",6.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Gavin Newsom",7.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Josh Shapiro",7.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Pete Buttigieg",8.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Kamala Harris",29.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Pete Buttigieg",10.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Gavin Newsom",4.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Alexandria Ocasio-Cortez",9.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Josh Shapiro",6.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,hhttps://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Tim Walz",3.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Amy Klobuchar",3.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Gretchen Whitmer",3.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Roy Cooper",1.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Cory Booker",7.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"J.B. Pritzker",2.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Jasmine Crockett",2.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Kamala Harris",15.30,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Gavin Newsom",17.20,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Pete Buttigieg",7.70,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Gretchen Whitmer",5.50,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Alexandria Ocasio-Cortez",9.90,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Josh Shapiro",6.30,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Pete Buttigieg",10.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Kamala Harris",25.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Gavin Newsom",7.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Alexandria Ocasio-Cortez",8.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Tim Walz",4.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Mark Kelly",4.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Gretchen Whitmer",2.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Cory Booker",1.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Pete Buttigieg",23.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Alexandria Ocasio-Cortez",14.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Cory Booker",12.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Gavin Newsom",12.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Andy Beshear",5.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Josh Shapiro",3.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Kamala Harris",30.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Pete Buttigieg",10.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Gavin Newsom",8.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Alexandria Ocasio-Cortez",7.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Josh Shapiro",6.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Tim Walz",4.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Amy Klobuchar",2.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Gretchen Whitmer",3.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Roy Cooper",1.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Cory Booker",7.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"J.B. Pritzker",1.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Rahm Emanuel",2.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Kamala Harris",26.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Gavin Newsom",21.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Pete Buttigieg",11.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Alexandria Ocasio-Cortez",14.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Tim Walz",10.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Josh Shapiro",3.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Kamala Harris",32.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Gavin Newsom",5.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Josh Shapiro",2.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Pete Buttigieg",10.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Tim Walz",5.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Alexandria Ocasio-Cortez",8.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"J.B. Pritzker",5.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Jasmine Crockett",3.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Gretchen Whitmer",2.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Andy Beshear",1.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Cory Booker",6.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Raphael Warnock",1.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Alexandria Ocasio-Cortez",7.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Gretchen Whitmer",3.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Kamala Harris",38.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Gavin Newsom",10.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Josh Shapiro",7.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Gretchen Whitmer",5.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Cory Booker",4.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Pete Buttigieg",11.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Tim Walz",7.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Alexandria Ocasio-Cortez",7.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Kamala Harris",22.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Gavin Newsom",12.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Josh Shapiro",12.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Cory Booker",6.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Pete Buttigieg",8.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Tim Walz",5.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Alexandria Ocasio-Cortez",6.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Kamala Harris",26.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
